Rainfall(mm),Humidity(%),Temperature(C),Flood Occurred
0,32,16,0
0,32,19,0
0,32,22,0
0,32,25,0
0,32,28,0
0,32,31,0
0,32,34,0
0,32,37,0
0,32,40,0
0,32,43,0
0,33,15,0
0,36,16,0
0,36,19,0
0,36,22,0
0,36,25,0
0,36,28,0
0,36,31,0
0,36,34,0
0,36,37,0
0,36,40,0
0,36,43,0
0,37,15,0
0,40,16,0
0,40,19,0
0,40,22,0
0,40,25,0
0,40,28,0
0,40,31,0
0,40,34,0
0,40,37,0
0,40,40,0
0,40,43,0
0,41,15,0
0,44,16,0
0,44,19,0
0,44,22,0
0,44,25,0
0,44,28,0
0,44,31,0
0,44,34,0
0,44,37,0
0,44,40,0
0,44,43,0
0,45,15,0
0,48,16,0
0,48,19,0
0,48,22,0
0,48,25,0
0,48,28,0
0,48,31,0
0,48,34,0
0,48,37,0
0,48,40,0
0,48,43,0
0,49,15,0
0,52,16,0
0,52,19,0
0,52,22,0
0,52,25,0
0,52,28,0
0,52,31,0
0,52,34,0
0,52,37,0
0,52,40,0
0,52,43,0
0,53,15,0
0,56,16,0
0,56,19,0
0,56,22,0
0,56,25,0
0,56,28,0
0,56,31,0
0,56,34,0
0,56,37,0
0,56,40,0
0,56,43,0
0,57,15,0
0,60,16,0
0,60,19,0
0,60,22,0
0,60,25,0
0,60,28,0
0,60,31,0
0,60,34,0
0,60,37,0
0,60,40,0
0,60,43,0
0,61,15,0
0,64,16,0
0,64,19,0
0,64,22,0
0,64,25,0
0,64,28,0
0,64,31,0
0,64,34,0
0,64,37,0
0,64,40,0
0,64,43,0
0,65,15,0
0,68,16,0
0,68,19,0
0,68,22,0
0,68,25,0
0,68,28,0
0,68,31,0
0,68,34,0
0,68,37,0
0,68,40,0
0,68,43,0
0,69,15,0
0,72,16,0
0,72,19,0
0,72,22,0
0,72,25,0
0,72,28,0
0,72,31,0
0,72,34,0
0,72,37,0
0,72,40,0
0,72,43,0
0,73,15,0
0,76,16,0
0,76,19,0
0,76,22,0
0,76,25,0
0,76,28,0
0,76,31,0
0,76,34,0
0,76,37,0
0,76,40,0
0,76,43,0
0,77,15,0
0,80,16,0
0,80,19,0
0,80,22,0
0,80,25,0
0,80,28,0
0,80,31,0
0,80,34,0
0,80,37,0
0,80,40,0
0,80,43,0
0,81,15,0
0,84,16,0
0,84,19,0
0,84,22,0
0,84,25,0
0,84,28,0
0,84,31,0
0,84,34,0
0,84,37,0
0,84,40,0
0,84,43,0
0,85,15,0
0,88,16,0
0,88,19,0
0,88,22,0
0,88,25,0
0,88,28,0
0,88,31,0
0,88,34,0
0,88,37,0
0,88,40,0
0,88,43,0
0,89,15,0
0,92,16,0
0,92,19,0
0,92,22,0
0,92,25,0
0,92,28,0
0,92,31,0
0,92,34,0
0,92,37,0
0,92,40,0
0,92,43,0
0,93,15,0
0,96,16,0
0,96,19,0
0,96,22,0
0,96,25,0
0,96,28,0
0,96,31,0
0,96,34,0
0,96,37,0
0,96,40,0
0,96,43,0
0,97,15,0
0,100,16,0
0,100,19,0
0,100,22,0
0,100,25,0
0,100,28,0
0,100,31,0
0,100,34,0
0,100,37,0
0,100,40,0
0,100,43,0
1,30,15,0
5,32,16,0
5,32,19,0
5,32,22,0
5,32,25,0
5,32,28,0
5,32,31,0
5,32,34,0
5,32,37,0
5,32,40,0
5,32,43,0
5,33,15,0
5,36,16,0
5,36,19,0
5,36,22,0
5,36,25,0
5,36,28,0
5,36,31,0
5,36,34,0
5,36,37,0
5,36,40,0
5,36,43,0
5,37,15,0
5,40,16,0
5,40,19,0
5,40,22,0
5,40,25,0
5,40,28,0
5,40,31,0
5,40,34,0
5,40,37,0
5,40,40,0
5,40,43,0
5,41,15,0
5,44,16,0
5,44,19,0
5,44,22,0
5,44,25,0
5,44,28,0
5,44,31,0
5,44,34,0
